"Tanggal Input";"Nama Barang";"Jumlah Barang Masuk";"Jumlah Barang Keluar";"Sisa Stok Barang";Satuan;"Tanggal Keluar";"Nama atau Bagian/Ruang yang Mengambil"
21/01/2026;"Gula Sachet";15;8;7;Pak;21/01/2026;"Untung Kustoro / Ruang KSU"
21/01/2026;"Minuman Pocari Sweat 330 ML";14;8;6;Buah;21/01/2026;"Jamaluddin M. / Ruang Malige"
21/01/2026;"Kacang Telur";17;3;14;Bungkus;21/01/2026;"Sukmawati / Ruang Malige"
21/01/2026;"Timba Kamar Mandi";5;-;14;Buah;-;-
22/01/2026;"Rak Berkas";16;6;17;Buah;22/01/2026;"Riskawaty / Ruang Keuangan"
22/01/2026;"Tempat Sampah";11;-;11;Buah;-;-
22/01/2026;"Tissue Isi Ulang";17;6;11;Pak;22/01/2026;"I Made Ngurah Rai Febrianto / Ruang Keuangan"
22/01/2026;"Hydro Coco";11;-;11;Buah;-;-
22/01/2026;"Buavita Lychee";13;-;13;Buah;-;-
22/01/2026;"Rak Berkas";-;2;15;Buah;22/01/2026;"Muhammad Jihad / Ruang Perlengkapan"
23/01/2026;"Tissue Gulung";-;3;6;Pak;23/01/2026;"Maulita Dewi Iskandar / Ruang Malige"
23/01/2026;"Tempat Sampah";14;2;23;Buah;23/01/2026;"Fitkha Maylana Rahayu / Ruang Perlengkapan"
23/01/2026;"Sendok Sup";20;8;12;Buah;23/01/2026;"Andi Herlina Nur / Ruang Perlengkapan"
23/01/2026;"Brat Brand Drink";13;2;11;Buah;23/01/2026;"Muhammad Jihad / Ruang Sekretaris"
23/01/2026;"Aqua Gelas";-;2;16;Dos;23/01/2026;"Amran Pamme / Ruang Keuangan"
23/01/2026;"Tissue Gulung";-;6;0;Pak;23/01/2026;"Cahyo Waskito Pur Antomo / Ruang Perlengkapan"
23/01/2026;"Penjepit Kertas No. 155";16;-;16;Dos;-;-
23/01/2026;"Minuman Kotak";16;-;16;Buah;-;-
23/01/2026;"Kertas HVS A4";15;2;13;Rim;23/01/2026;"Rahim Jamal / Ruang Kepala Kantor"
26/01/2026;Kanebo;-;1;18;Buah;26/01/2026;"Muhammad Jihad / Ruang Sekretaris"
26/01/2026;"Permen Kaleng Foxs";14;8;6;Dos;26/01/2026;"Fitkha Maylana Rahayu / Ruang Malige"
26/01/2026;"Toner Epson L3110 Kuning";-;4;14;Botol;26/01/2026;"Fitkha Maylana Rahayu / Ruang Perlengkapan"
26/01/2026;"Tissue Gulung";13;3;10;Pak;26/01/2026;"Maulita Dewi Iskandar / Ruang KSU"
26/01/2026;"Mente Sangrai";12;2;10;Bungkus;26/01/2026;"Nurmiyanti / Ruang Malige"
26/01/2026;"Kertas HVS F4";10;4;6;Rim;26/01/2026;"Resgi Silvania / Ruang Alih Daya"
26/01/2026;"Gula Sachet";13;1;19;Pak;26/01/2026;"Andi Herlina Nur / Ruang Kepala Kantor"
26/01/2026;"Wiper Kaca";9;-;24;Buah;-;-
26/01/2026;"Sendok Nasi";16;8;8;Buah;26/01/2026;"Noke Nofrianto / Ruang Laika"
26/01/2026;"Cairan Pembersih Piring";15;-;15;Botol;-;-
27/01/2026;"Kain Lap Sintetis";18;1;28;Buah;27/01/2026;"Andi Herlina Nur / Ruang Kepala Kantor"
27/01/2026;"Gula Sachet";11;1;29;Pak;27/01/2026;"Dwi Pratiwi Husba / Ruang Malige"
27/01/2026;"Tempat Tissue";18;7;11;Buah;27/01/2026;"Febriyani Rahayu / Ruang Laika"
27/01/2026;"Pengharum Ruangan Metik";10;8;2;Buah;27/01/2026;"Dwidayanto / Ruang Sekretaris"
27/01/2026;"Tissue Isi Ulang";10;3;18;Pak;27/01/2026;"Amran Pamme / Ruang Perlengkapan"
27/01/2026;"Pengjepit Kertas No. 280";16;-;16;Dos;-;-
27/01/2026;"Map plastik";18;-;18;Buah;-;-
27/01/2026;"Toner Epson L3110 Kuning";9;6;17;Botol;27/01/2026;"Mohammad Hanafi / Ruang Perlengkapan"
28/01/2026;"Net Voly";-;2;18;Buah;28/01/2026;"Fitkha Maylana Rahayu / Ruang Alih Daya"
28/01/2026;"Mata Saklar";14;-;14;Buah;-;-
28/01/2026;"Pot Bunga Plastik";19;6;13;Buah;28/01/2026;"Dwidayanto / Ruang Keuangan"
28/01/2026;"Pengharum Kamar Mandi";-;4;4;Buah;28/01/2026;"Maulita Dewi Iskandar / Ruang Sekretaris"
28/01/2026;Pulpen;-;4;1;Buah;28/01/2026;"Noke Nofrianto / Ruang KSU"
28/01/2026;"Cairan Pembersih Kamar mandi";15;5;19;Buah;28/01/2026;"Amran Pamme / Ruang Kepala Kantor"
28/01/2026;Trigonal;15;6;9;Dos;28/01/2026;"Andi Herlina Nur / Ruang Alih Daya"
28/01/2026;"Kue Pia";15;-;15;Dos;-;-
29/01/2026;"Alat Pel Otomatis";13;3;10;Buah;29/01/2026;"Dwi Pratiwi Husba / Ruang Kepala Kantor"
29/01/2026;"Cairan Pembasmi Nyamuk";-;4;11;Botol;29/01/2026;"Mifta Huzaena / Ruang KSU"
29/01/2026;"Aqua 330 ML";-;4;11;Dos;29/01/2026;"Noke Nofrianto / Ruang KSU"
29/01/2026;"Mente Sangrai";10;-;20;Bungkus;-;-
29/01/2026;"Cairan Pembersih Piring";-;4;11;Botol;29/01/2026;"Untung Kustoro / Ruang Malige"
29/01/2026;"Mente Sangrai";7;-;27;Bungkus;-;-
29/01/2026;"Vixal 600ML";20;-;20;Botol;-;-
29/01/2026;Tip-Ex;11;6;15;Buah;29/01/2026;"Amran Pamme / Ruang Kepala Kantor"
29/01/2026;"Map Biasa";10;8;2;Buah;29/01/2026;"Mifta Huzaena / Ruang KSU"
30/01/2026;"Cairan Pembersing Toilet";8;-;18;Buah;-;-
30/01/2026;"Pengharum Ruangan Diffuser";-;4;9;Botol;30/01/2026;"Cahyo Waskito Pur Antomo / Ruang Laika"
30/01/2026;"Lakban Double";14;1;13;Buah;30/01/2026;"Mulawati / Ruang Laika"
30/01/2026;"Map Ordner";19;-;19;Buah;-;-
30/01/2026;Pulpen;19;3;17;Buah;30/01/2026;"Uzlah Marifat Ariqo / Ruang Perlengkapan"
30/01/2026;"Sapu Ijuk";19;8;11;Buah;30/01/2026;"Rahim Jamal / Ruang Sekretaris"
02/02/2026;"Susu Kotak Coklat";19;-;19;Buah;-;-
02/02/2026;"Isi Ulang Tabung Pemadam Kebakaran";12;-;12;Buah;-;-
02/02/2026;"Pengharum Ruangan";18;5;13;Buah;02/02/2026;"Cahyo Waskito Pur Antomo / Ruang Kepala Kantor"
02/02/2026;Ember;11;-;11;Buah;-;-
02/02/2026;"Isolasi Bening";17;-;17;Buah;-;-
02/02/2026;"Semprotan Pembasmi Nyamuk";12;4;8;Buah;02/02/2026;"Sainudin Husni / Ruang Keuangan"
03/02/2026;"Map Otner";15;4;11;Buah;03/02/2026;"Zakiyah Mustafa Husba / Ruang Malige"
03/02/2026;"Cairan Pembersih Lantai";17;7;18;Buah;03/02/2026;"Sainudin Husni / Ruang Kepala Kantor"
03/02/2026;"Brat Brand Drink";-;3;8;Buah;03/02/2026;"Jamaluddin M. / Ruang Laika"
03/02/2026;"Cairan Pembersih Piring";16;3;24;Botol;03/02/2026;"Riskawaty / Ruang Laika"
03/02/2026;"Tempat Sampah";-;4;19;Buah;03/02/2026;"Dwi Pratiwi Husba / Ruang KSU"
03/02/2026;"Toner Epson L3110 Hitam";12;4;8;Botol;03/02/2026;"Cahyo Waskito Pur Antomo / Ruang Kepala Kantor"
03/02/2026;"Minuman Tropicana Slim";14;1;25;Buah;03/02/2026;"Nurmiyanti / Ruang Kepala Kantor"
03/02/2026;"Kertas HVS Warna Biru";15;-;31;Rim;-;-
03/02/2026;"Peluru Hekter";14;7;7;Dos;03/02/2026;"Nurmiyanti / Ruang Keuangan"
04/02/2026;"Penjepit Kertas No. 107";6;-;21;Dos;-;-
04/02/2026;"Sikat kecil";10;1;9;Buah;04/02/2026;"Febriyani Rahayu / Ruang Keuangan"
04/02/2026;"Balon Lampu 18 Watt";13;1;12;Buah;04/02/2026;"Noke Nofrianto / Ruang Sekretaris"
04/02/2026;"Sikat Kamar Mandi";11;6;5;Buah;04/02/2026;"Untung Kustoro / Ruang Alih Daya"
04/02/2026;"Cairan Anti Sumbat";12;-;12;Botol;-;-
04/02/2026;"Sabun Cuci Tangan";16;5;11;Buah;04/02/2026;"Febriyani Rahayu / Ruang KSU"
05/02/2026;"Aqua Botol 600ML";10;7;3;Dos;05/02/2026;"Uzlah Marifat Ariqo / Ruang KSU"
05/02/2026;"Pengharaum Kamar Mandi Bundar";11;1;24;Buah;05/02/2026;"Cahyo Waskito Pur Antomo / Ruang Alih Daya"
05/02/2026;"Saklar Ganda";11;8;3;Buah;05/02/2026;"Nurmiyanti / Ruang Alih Daya"
05/02/2026;"Semprotan Pengharum Ruangan";18;1;30;Buah;05/02/2026;"Mohammad Hanafi / Ruang Sekretaris"
05/02/2026;"Pengharum Kamar Mandi";14;3;15;Buah;05/02/2026;"Amran Pamme / Ruang Kepala Kantor"
05/02/2026;"Cairan Pembersih Lantai";-;1;17;Buah;05/02/2026;"Noke Nofrianto / Ruang Perlengkapan"
06/02/2026;"Toner Epson L3110 Hitam";15;4;19;Botol;06/02/2026;"Eka Rohmaniah Apriani / Ruang Kepala Kantor"
06/02/2026;"Baterai AA";19;2;17;Buah;06/02/2026;"Sukmawati / Ruang KSU"
06/02/2026;"Isi Ulang Tabung Pemadam Kebakaran";9;7;14;Buah;06/02/2026;"I Made Ngurah Rai Febrianto / Ruang Sekretaris"
06/02/2026;"Mata Saklar";-;6;8;Buah;06/02/2026;"Eka Rohmaniah Apriani / Ruang Keuangan"
06/02/2026;"Pengharum Ruangan Metik";18;6;14;Buah;06/02/2026;"Sainudin Husni / Ruang Alih Daya"
06/02/2026;"Cairan Pembersing Toilet";15;7;26;Buah;06/02/2026;"Hairil Muhammad Indra Jaya / Ruang Alih Daya"
06/02/2026;"Buavita Jambu";17;3;14;Buah;06/02/2026;"Cahyo Waskito Pur Antomo / Ruang Sekretaris"
06/02/2026;"Tempat Tissue";-;6;5;Buah;06/02/2026;"Mulawati / Ruang Kepala Kantor"
06/02/2026;Pensil;-;3;8;Buah;06/02/2026;"Mifta Huzaena / Ruang Laika"
06/02/2026;"Keset Kaki";13;8;5;Buah;06/02/2026;"Andi Herlina Nur / Ruang Perlengkapan"
09/02/2026;"Map Plastik Kancing";-;5;8;Buah;09/02/2026;"Cahyo Waskito Pur Antomo / Ruang Perlengkapan"
09/02/2026;Tip-Ex;15;4;26;Buah;09/02/2026;"Indriati / Ruang Malige"
09/02/2026;"Mete Gorong";19;5;14;Bungkus;09/02/2026;"Dwi Pratiwi Husba / Ruang Laika"
09/02/2026;"Pulpen Balliner Hitam";5;-;18;Buah;-;-
09/02/2026;"Minuman Ultra Milk";15;1;21;Buah;09/02/2026;"Fadhilah Nurul Inayah Nasir / Ruang KSU"
09/02/2026;"Id Card Pegawai";5;-;20;Buah;-;-
09/02/2026;"Aqua Botol 330 ML";17;6;11;Dos;09/02/2026;"Sainudin Husni / Ruang Perlengkapan"
09/02/2026;"Sendok Makan";10;8;2;Lusin;09/02/2026;"Riskawaty / Ruang Alih Daya"
09/02/2026;"Teh Kotak";16;2;14;Buah;09/02/2026;"Nurmiyanti / Ruang Perlengkapan"
10/02/2026;"Baterai AA";17;4;30;Buah;10/02/2026;"Rahim Jamal / Ruang Laika"
10/02/2026;"Pengharam Kamar Mandi Bundar";13;3;10;Buah;10/02/2026;"Siti Hajarah / Ruang Malige"
10/02/2026;Ember;9;-;20;Buah;-;-
10/02/2026;"Kertas Foto";-;4;37;Bungkus;10/02/2026;"Dwidayanto / Ruang Kepala Kantor"
10/02/2026;"Tissue Isi Ulang";15;3;30;Pak;10/02/2026;"Untung Kustoro / Ruang Malige"
10/02/2026;"Penjepit Kertas No. 107";18;6;33;Dos;10/02/2026;"Asri / Ruang Perlengkapan"
10/02/2026;"Isi Ulang Tabung Pemadam Kebakaran";11;6;19;Buah;10/02/2026;"Indriati / Ruang Sekretaris"
10/02/2026;"Cairan Anti Sumbat";15;6;21;Botol;10/02/2026;"Nurmiyanti / Ruang Kepala Kantor"
10/02/2026;"Sendok Nasi";17;3;22;Buah;10/02/2026;"Fadhilah Nurul Inayah Nasir / Ruang Malige"
10/02/2026;"Kain Lap";-;4;6;Buah;10/02/2026;"Rahim Jamal / Ruang Malige"
11/02/2026;"Kain Lap";18;5;19;Buah;11/02/2026;"Riskawaty / Ruang KSU"
11/02/2026;"Poster Presiden dan Wakil Presiden";18;2;16;Pasang;11/02/2026;"Eka Rohmaniah Apriani / Ruang KSU"
11/02/2026;"Cairan Pembersing Toilet";-;1;25;Buah;11/02/2026;"Mohammad Hanafi / Ruang Keuangan"
11/02/2026;"Minuman Kotak";16;1;31;Buah;11/02/2026;"Riskawaty / Ruang Keuangan"
11/02/2026;"Penjepit Kertas";15;-;24;Dos;-;-
11/02/2026;"Sendal Jepit";9;-;27;Buah;-;-
11/02/2026;Tip-Ex;16;3;39;Buah;11/02/2026;"Jamaluddin M. / Ruang Malige"
11/02/2026;"Cairan Pembersih Kamar mandi";10;-;29;Buah;-;-
11/02/2026;"Materai 10.000";16;-;16;Lembar;-;-
11/02/2026;Pulpen;12;-;29;Buah;-;-
12/02/2026;"Kotak Tempat Aqua Gelas";13;-;21;Buah;-;-
12/02/2026;"Balon Lampu 18 Watt";-;2;10;Buah;12/02/2026;"Rahim Jamal / Ruang Sekretaris"
12/02/2026;"Map plastik";15;-;33;Buah;-;-
12/02/2026;"Cairan Pembersih Piring";12;1;35;Botol;12/02/2026;"Untung Kustoro / Ruang Kepala Kantor"
12/02/2026;"Tissue Isi Ulang";-;1;29;Pak;12/02/2026;"Dwidayanto / Ruang Kepala Kantor"
12/02/2026;"Kain Pencuci Piring";17;-;17;Buah;-;-
12/02/2026;"Pulpen Snowman";17;-;17;Buah;-;-
13/02/2026;"Kertas HVS F4";17;2;21;Rim;13/02/2026;"Sainudin Husni / Ruang Sekretaris"
13/02/2026;"Cairan Pembersih Kamar mandi";14;-;43;Buah;-;-
13/02/2026;"Tissue Basah";14;-;14;Buah;-;-
13/02/2026;"Sikat WC";-;6;6;Buah;13/02/2026;"Zakiyah Mustafa Husba / Ruang Keuangan"
13/02/2026;"Minuman Oatside";-;6;13;Buah;13/02/2026;"Cahyo Waskito Pur Antomo / Ruang KSU"
13/02/2026;"Map plastik";10;4;39;Buah;13/02/2026;"I Made Ngurah Rai Febrianto / Ruang Alih Daya"
16/02/2026;Baskom;15;-;15;Buah;-;-
16/02/2026;"Pengharum Kamar Mandi";-;1;14;Buah;16/02/2026;"Sainudin Husni / Ruang Perlengkapan"
16/02/2026;"Lem Kertas";11;-;14;Buah;-;-
16/02/2026;Permen;17;7;10;Jenis;16/02/2026;"Muhammad Jihad / Ruang Alih Daya"
16/02/2026;"Pengharum Ruangan Matic";19;2;17;Buah;16/02/2026;"Mifta Huzaena / Ruang Perlengkapan"
16/02/2026;"Cairan Pembersih Kamar mandi";8;5;46;Buah;16/02/2026;"Siti Hajarah / Ruang Sekretaris"
16/02/2026;"Air Galon";13;8;5;Galon;16/02/2026;"Dwi Pratiwi Husba / Ruang Laika"
16/02/2026;"Sikat Kamar Mandi";-;3;2;Buah;16/02/2026;"Muhammad Jihad / Ruang Perlengkapan"
16/02/2026;"Hydro Coco";-;6;5;Buah;16/02/2026;"Sainudin Husni / Ruang Malige"
16/02/2026;"Buavita Lychee";-;3;10;Buah;16/02/2026;"Uzlah Marifat Ariqo / Ruang Keuangan"
18/02/2026;"Buavita Mangga";17;4;13;Buah;18/02/2026;"Rahim Jamal / Ruang Kepala Kantor"
18/02/2026;"Minuman Pocari Sweat 330 ML";6;-;12;Buah;-;-
18/02/2026;"Kertas HVS Warna Biru";14;-;45;Rim;-;-
18/02/2026;"Bingkai Foto";17;5;12;Buah;18/02/2026;"I Made Ngurah Rai Febrianto / Ruang Laika"
18/02/2026;"Hekter Kecil";18;3;15;Buah;18/02/2026;"Febriyani Rahayu / Ruang Alih Daya"
18/02/2026;"Pengharam Kamar Mandi Bundar";-;3;7;Buah;18/02/2026;"Maulita Dewi Iskandar / Ruang Kepala Kantor"
18/02/2026;"Aqua Gelas";-;5;11;Dos;18/02/2026;"Riskawaty / Ruang Sekretaris"
18/02/2026;"Bingkai A4 Untuk Piagam Penghargaan";11;7;15;Buah;18/02/2026;"Cahyo Waskito Pur Antomo / Ruang Keuangan"
19/02/2026;Pensil;-;5;3;Buah;19/02/2026;"Dwidayanto / Ruang KSU"
19/02/2026;"Tinta Printer Canon Hitam";-;6;5;Dos;19/02/2026;"Dwi Pratiwi Husba / Ruang KSU"
19/02/2026;"Baterai AAA";-;5;11;Buah;19/02/2026;"Muhammad Jihad / Ruang Laika"
19/02/2026;Kanebo;-;4;14;Buah;19/02/2026;"Andi Herlina Nur / Ruang Sekretaris"
19/02/2026;"Kain Lap Meja";16;-;16;Buah;-;-
19/02/2026;"Kopi Sachet";-;1;13;Gantung;19/02/2026;"Febriyani Rahayu / Ruang Alih Daya"
19/02/2026;"Penghapus Pensil";10;1;25;Buah;19/02/2026;"Dwi Pratiwi Husba / Ruang Keuangan"
20/02/2026;"Pengharum Kamar Mandi Bundar";-;2;5;Buah;20/02/2026;"Mohammad Hanafi / Ruang Laika"
20/02/2026;"Sendok Sampah";6;-;25;Buah;-;-
20/02/2026;"Pot Bunga Plastik";9;2;20;Buah;20/02/2026;"Cahyo Waskito Pur Antomo / Ruang Alih Daya"
20/02/2026;"Minuman Tropicana Slim";-;5;20;Buah;20/02/2026;"Dwidayanto / Ruang Kepala Kantor"
20/02/2026;"Kopi Sachet";9;-;22;Gantung;-;-
20/02/2026;"Kain Lap Sintetis";8;6;30;Buah;20/02/2026;"Noke Nofrianto / Ruang Sekretaris"
23/02/2026;"Kue Kering Baruasa";14;-;14;Bungkus;-;-
